OID_,SOURCE_ID,SITE_NAME,TOWN,REGION,LATITUDE,LONGITUDE,TYPE,ZII_NUM,PWS_ID
1978,3330000-02G,NUTTING RD. GPW,WESTFORD,3,42.609597020000002,-71.436654849999996,GW,128,3330000
1979,4300003-08G,"NORTH OF HIGHLAND CAMPING AREA, LLC",TRURO,4,42.047103810000003,-70.084007139999997,TNC,0,4300003
1980,1311000-02G,GRAVEL PACKED WELL #1,WARREN,1,42.203659709999997,-72.193923999999996,GW,519,1311000
1981,1024000-05G,DAIGLE WELL (05G),BELCHERTOWN,1,42.322615259999999,-72.446219839999998,GW,208,1024000
1982,1069001-04G,FANNY RODGER SPRING (04G),CUMMINGTON,1,42.455797029999999,-72.912082979999994,GW,587,1069001
1983,2257003-01G,DRILLED WELL,RUTLAND,2,42.339472630000003,-71.943096699999998,GW,0,2257003
1984,2002000-10G,KENNEDY GP WELL 1,ACTON,2,42.527378550000002,-71.404299550000005,GW,419,2002000
1985,4247002-02G,DOROTHY L BECKWITH MIDDLE SCHOOL,REHOBOTH,4,41.847084299999999,-71.255920450000005,NTNC,0,4247002
1986,1341004-01G,SPRING #1,WILLIAMSTOWN,1,42.644130070000003,-73.242494019999995,GW,603,1341004
1987,4310000-01G,MAPLE SPRINGS WELL  1,WAREHAM,4,41.783991069999999,-70.669432909999998,GW,383,4310000
1988,1279000-01G,GREAT BROOK WELL #1,SOUTHWICK,1,42.062293699999998,-72.739051810000007,GW,320,1279000
1989,1113030-01G,FIDDLEHEAD GRILL,GREAT BARRINGTON,1,42.161740889999997,-73.363889270000001,TNC,0,1113030
1990,1341003-04G,WELL #4,WILLIAMSTOWN,1,42.676231430000001,-73.239280780000001,GW,0,1341003
1991,1070000-03S,WINDSOR RESERVOIR (03S),DALTON,1,42.485176050000000,-73.106353780000006,ESW,0,1070000
1992,2139007-03G,ROCK WELL # 3,HOPKINTON,2,42.261299430000001,-71.539299060000005,GW,0,2139007
1993,2271000-02G,GP #4 SEWALL STREET WELL,SHREWSBURY,2,42.305750019999998,-71.751980200000006,GW,577,2271000
1994,3246000-03G,REVAY WELL #1,READING,3,42.537343919999998,-71.127091250000007,GW,318,3246000
1995,1132002-01G,WELL #1,HINSDALE,1,42.443443920000000,-73.086840510000002,GW,0,1132002
1996,4197014-01G,DIONIS BEACH,NANTUCKET,4,41.292788379999998,-70.152361880000001,TNC,0,4197014
1997,3107000-05S,KLONDIKE RES.,GLOUCESTER,3,42.665512149999998,-70.661438120000000,SW,0,3107000
1998,4239012-03G,BLUEBERRY HILL CAMPGROUND,PLYMOUTH,4,41.888717600000000,-70.698890579999997,TNC,0,4239012
1999,1193011-05G,CAMP KIMAMA HALFMOON,MONTEREY,1,42.172878439999998,-73.275737559999996,TNC,0,1193011
2000,3317000-04G,ROSEMARY GP WELL,WELLESLEY,3,42.315525080000000,-71.251228280000007,GW,275,3317000
2001,4334089-01G,PARTNERS VILLAGE STORE,WESTPORT,4,41.577095749999998,-71.092688460000005,TNC,0,4334089
2002,1148008-02G,WELL #7 (02G),LANESBOROUGH,1,42.540841810000003,-73.243006469999997,GW,0,1148008
2003,2125000-03G,BOLTON ROAD ROCK WELL #3 (03G),HARVARD,2,42.490933190000000,-71.581357600000004,GW,0,2125000
2004,4086033-01G,POITS LIGHTHOUSE MINI GOLF,EASTHAM,4,41.867786400000000,-69.984367489999997,TNC,0,4086033
2005,3164000-03G,PHILLIPS WELL 9A,LYNNFIELD,3,42.546177110000002,-71.053749109999998,GW,292,3164000
2006,1311001-02G,GP WELL #2,WARREN,1,42.199503049999997,-72.199002289999996,GW,0,1311001
2007,4247009-02G,FRANCIS FARM,REHOBOTH,4,41.840274729999997,-71.220100380000005,TNC,0,4247009
2008,3166000-01G,LINCOLN ST WELL,MANCHESTER,3,42.580856400000002,-70.764251770000001,GW,158,3166000
2009,4065000-0AG,ELLMS MEADOW REPLCMNT WLFD,COHASSET,4,42.238536449999998,-70.803395510000001,PW,527,4065000
2010,4146006-01G,WELL # 1,LAKEVILLE,4,41.814417980000002,-70.954128569999995,GW,0,4146006
2011,3157000-01S,FLINTS POND,LINCOLN,3,42.430171909999999,-71.316001810000003,SW,0,3157000
2012,3320000-02G,GP WELL  2,WENHAM,3,42.610923880000001,-70.894355809999993,GW,131,3320000
2013,1217006-04G,WELL #4,NORTHFIELD,1,42.650486770000001,-72.451742640000006,GW,0,1217006
2014,4334078-02G,WELL #2,WESTPORT,4,41.653066160000002,-71.068865310000007,GW,0,4334078
2015,2019001-04G,GROVE POND GRAVEL PACKED (12 8"") WELLS,AYER,2,42.550739739999997,-71.584418549999995,GW,384,2019001
2016,1120009-01G,LOUIES RESTAURANT,HAMPDEN,1,42.063400340000001,-72.417106660000002,TNC,0,1120009
2017,3335008-01G,"HALE RESERVATION, INC.",WESTWOOD,3,42.233968949999998,-71.228138920000006,TNC,0,3335008
2018,1236011-02G,DCR PITTSFIELD STATE FOREST,PITTSFIELD,1,42.488660310000000,-73.302066389999993,TNC,0,1236011
2019,1225022-04G,DCR TOLLAND STATE FOREST,OTIS,1,42.144267990000003,-73.049163800000002,TNC,0,1225022
2020,1106007-01G,ALANS BAR B QUE,GILL,1,42.608363820000001,-72.510400680000004,TNC,0,1106007
2021,4300003-07G,"NORTH OF HIGHLAND CAMPING AREA, LLC",TRURO,4,42.048084279999998,-70.088844140000006,TNC,0,4300003
2022,1058004-01G,COUNTRY CHARM RESTAURANT,CHESHIRE,1,42.543779090000001,-73.171868660000001,TNC,0,1058004
2023,2139007-01G,ROCK WELL # 1,HOPKINTON,2,42.261741260000001,-71.539475940000003,GW,0,2139007
2024,3038008-01G,SPOFFORD POND SCHOOL,BOXFORD,3,42.697006020000003,-71.017639160000002,NTNC,538,3038008
2025,1135008-01G,CAUSEWAY TAVERN,HOLLAND,1,42.048988270000002,-72.153823770000002,TNC,0,1135008
2026,4293000-06S,LITTLE QUITTACAS (5),TAUNTON,4,41.792267600000002,-70.908622420000000,SW,0,4293000
2027,4182000-08G,PLYMPTON ST. GP WELL,MIDDLEBOROUGH,4,41.913105219999998,-70.882988019999999,GW,342,4182000
2028,4131000-13G,FREE STREET WELL #5,HINGHAM,4,42.217600840000003,-70.880621390000002,GW,394,4131000
2029,4072000-15G,PANELLI WELL 3,DARTMOUTH,4,41.634865460000000,-71.023285279999996,GW,718,4072000
2030,4318091-01G,WELL  1,WELLFLEET,4,41.910279480000000,-70.005261059999995,GW,0,4318091
2031,4318091-03G,WELL  3,WELLFLEET,4,41.910309990000002,-70.005199899999994,GW,0,4318091
2032,4318091-04G,WELL  4,WELLFLEET,4,41.910294880000002,-70.005146749999994,GW,0,4318091
2033,4318091-05G,WELL  5,WELLFLEET,4,41.910346070000003,-70.005166310000007,GW,0,4318091
2034,4239013-04G,HEDGES POND RECREATIONAL AREA,PLYMOUTH,4,41.828362339999998,-70.563052709999994,TNC,0,4239013
2035,4052044-02G,WELL 2,CARVER,4,41.901620629999996,-70.784001020000005,GW,0,4052044
2036,2084001-04G,YMCA CAMP FRANK A. DAY,EAST BROOKFIELD,2,42.175457360000003,-72.065619249999997,TNC,0,2084001
2037,2188007-02G,POT BELLY PUB,MILLVILLE,2,42.026879319999999,-71.578598580000005,TNC,0,2188007
2038,3056002-06G,BOMIL BEDROCK WELL #2,CHELMSFORD,3,42.629510070000002,-71.383963289999997,GW,567,3056002
